frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,baseline_reference_x,baseline_reference_y,baseline_raw_error_q15,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,rtl_reference_x,rtl_reference_y,rtl_raw_error_q15,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
0,baseline_overlay_pass->release->rtl_overlay_pass,5.585931,14.395037,2.874967,22.897617,0.109375,0.0459375,11901,True,142,179,3584,5.55201,15.215382,0.848197,21.65102,0.109375,0.0459375,11901,True,142,,3584,0.0,0.0,0.341147,0.331657
1,baseline_overlay_pass->release->rtl_overlay_pass,5.980789,14.698644,2.946619,23.676444,0.109375,0.0315,11917,True,142,179,3584,5.941808,15.173151,0.872848,22.036368,0.109375,0.0315,11917,True,142,,3584,0.0,0.0,0.355617,0.334217
2,baseline_overlay_pass->release->rtl_overlay_pass,6.131252,14.671773,2.899718,23.752644,0.109375,0.025725,11928,True,142,179,3584,5.913748,14.901496,0.856417,21.720931,0.109375,0.025725,11928,True,142,,3584,0.0,0.0,0.345277,0.331197
3,baseline_overlay_pass->release->rtl_overlay_pass,6.088762,15.336167,2.866587,24.342516,0.109375,0.023415,11968,True,142,179,3584,7.996049,14.506348,0.873757,23.419855,0.109375,0.023415,11968,True,142,,3584,0.0,0.0,0.357917,0.335216
4,baseline_overlay_pass->release->rtl_overlay_pass,7.703644,14.52356,2.942948,25.220714,0.109375,0.022491,11948,True,142,179,3584,5.990559,14.498668,0.872688,21.405685,0.109375,0.022491,11948,True,142,,3584,0.0,0.0,0.351377,0.339026
