frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,baseline_reference_x,baseline_reference_y,baseline_raw_error_q15,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,rtl_reference_x,rtl_reference_y,rtl_raw_error_q15,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
22,baseline_overlay_pass->release->rtl_overlay_pass,5.705713,14.348174,3.015339,23.122726,0.109375,0.021875,11926,True,142,179,3584,5.600213,14.891201,1.947249,22.483334,0.109375,0.021875,11926,True,142,,3584,0.0,0.0,0.358956,1.405851
23,baseline_overlay_pass->release->rtl_overlay_pass,5.584311,14.340713,2.840526,22.812791,0.109375,0.021875,11914,True,142,179,3584,5.653064,15.516251,0.962064,22.178509,0.109375,0.021875,11914,True,142,,3584,0.0,0.0,0.409526,0.358065
24,baseline_overlay_pass->release->rtl_overlay_pass,5.56103,14.351733,2.838997,22.802671,0.109375,0.021875,11902,True,142,179,3584,5.878247,14.401724,0.910334,21.238926,0.109375,0.021875,11902,True,142,,3584,0.0,0.0,0.385456,0.335915
25,baseline_overlay_pass->release->rtl_overlay_pass,5.623232,14.728919,2.957198,23.35676,0.109375,0.021875,11910,True,142,179,3584,5.674344,14.344173,0.900314,20.964911,0.109375,0.021875,11910,True,142,,3584,0.0,0.0,0.373655,0.339155
26,baseline_overlay_pass->release->rtl_overlay_pass,5.953357,14.326333,2.879117,23.424811,0.109375,0.021875,11915,True,142,179,3584,5.654014,14.349593,0.901043,20.948561,0.109375,0.021875,11915,True,142,,3584,0.0,0.0,0.376505,0.339465
27,baseline_overlay_pass->release->rtl_overlay_pass,6.581307,14.801461,2.837706,24.268705,0.109375,0.021875,11926,True,142,179,3584,5.622874,14.413684,0.912844,20.994412,0.109375,0.021875,11926,True,142,,3584,0.0,0.0,0.388836,0.337115
28,baseline_overlay_pass->release->rtl_overlay_pass,5.907226,15.145396,2.839917,23.94562,0.109375,0.021875,11906,True,142,179,3584,6.781611,14.278232,0.908134,22.014177,0.109375,0.021875,11906,True,142,,3584,0.0,0.0,0.380805,0.340545
29,baseline_overlay_pass->release->rtl_overlay_pass,5.606721,15.229038,2.914277,23.798537,0.109375,0.021875,11909,True,142,179,3584,7.290798,14.612287,0.889823,22.839139,0.109375,0.021875,11909,True,142,,3584,0.0,0.0,0.368485,0.337585
30,baseline_overlay_pass->release->rtl_overlay_pass,5.653792,15.101196,2.906887,23.711875,0.109375,0.021875,11900,True,142,179,3584,5.663625,15.053143,0.947194,21.712603,0.109375,0.021875,11900,True,142,,3584,0.0,0.0,0.337555,0.434677
31,baseline_overlay_pass->release->rtl_overlay_pass,6.015368,14.868711,3.329594,24.271185,0.109375,0.021875,11913,True,142,179,3584,5.663234,14.81796,0.866353,21.391167,0.109375,0.021875,11913,True,142,,3584,0.0,0.0,0.355785,0.336345
